iter	Logloss
0	0.6741028832
1	0.6551862028
2	0.6373569688
3	0.6216060331
4	0.6058053808
5	0.5913316271
6	0.5767387966
7	0.564161841
8	0.5521211939
9	0.5408715355
10	0.5304244019
11	0.5206795712
12	0.5119282836
13	0.5027115932
14	0.4946097172
15	0.487464433
16	0.4798946321
17	0.4731880317
18	0.4666128452
19	0.4606524241
20	0.45484523
21	0.4478193793
22	0.4426801978
23	0.4370837044
24	0.4325017073
25	0.427072074
26	0.4223677832
27	0.4178191546
28	0.4134347528
29	0.4087072446
30	0.4055214258
31	0.4014063113
32	0.3971284651
33	0.3932314004
34	0.389062663
35	0.3860046326
36	0.3831112154
37	0.3796700738
38	0.3766398013
39	0.373912202
40	0.3715574926
41	0.3691237073
42	0.366094848
43	0.3636498216
44	0.3618022871
45	0.3593650096
46	0.3569588876
47	0.3546019178
48	0.3529275648
49	0.3510467737
50	0.3492120821
51	0.3471533599
52	0.3450199497
53	0.3434518487
54	0.3415448778
55	0.3398863565
56	0.337983818
57	0.3365254711
58	0.335168533
59	0.3337203216
60	0.332365967
61	0.331025328
62	0.32941503
63	0.3283000948
64	0.3267900357
65	0.3252382495
66	0.3243236874
67	0.3231685999
68	0.3216351629
69	0.3202402095
70	0.3189582163
71	0.317818417
72	0.3164399144
73	0.3156549005
74	0.3146921975
75	0.3137082873
76	0.3125340376
77	0.311430603
78	0.3105961006
79	0.3098933579
