[min90] hizli tarama basladi
[min90/min90_sentetik_3000_per_class_pima/all_features/knn] min=0.9714 acc=0.9747 auc=0.9915
[min90/min90_sentetik_3000_per_class_pima/all_features/svm_rbf] min=0.9714 acc=0.9739 auc=0.9976
[min90/min90_sentetik_3000_per_class_pima/all_features/random_forest] min=0.9685 acc=0.9747 auc=0.9984
[min90/min90_sentetik_3000_per_class_pima/all_features/extra_trees] min=0.9714 acc=0.9755 auc=0.9984
[min90/min90_sentetik_3000_per_class_pima/all_features/gradient_boosting] min=0.9717 acc=0.9778 auc=0.9976
[min90/min90_sentetik_3000_per_class_pima/all_features/hist_gradient_boosting] min=0.9654 acc=0.9739 auc=0.9967
[min90/min90_sentetik_3000_per_class_pima/all_features/adaboost] min=0.9777 acc=0.9786 auc=0.9963
[min90/min90_sentetik_3000_per_class_pima/all_features/mlp] min=0.9622 acc=0.9739 auc=0.9963
[min90/min90_sentetik_3000_per_class_pima/all_features/xgboost] min=0.9717 acc=0.9771 auc=0.9978
[min90/min90_sentetik_3000_per_class_pima/all_features/lightgbm] min=0.9685 acc=0.9739 auc=0.9976
[min90/min90_sentetik_3000_per_class_pima/all_features/soft_voting_rf_et_hgb] min=0.9669 acc=0.9747 auc=0.9984
[min90/min90_sentetik_3000_per_class_pima/all_features/soft_voting_xgb_lgbm_et] min=0.9748 acc=0.9755 auc=0.9982
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/logistic_regression] min=0.9666 acc=0.9747 auc=0.9950
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/gaussian_nb] min=0.9618 acc=0.9739 auc=0.9910
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/knn] min=0.9762 acc=0.9763 auc=0.9907
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/svm_rbf] min=0.9717 acc=0.9755 auc=0.9975
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/random_forest] min=0.9762 acc=0.9771 auc=0.9984
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/extra_trees] min=0.9748 acc=0.9763 auc=0.9982
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/gradient_boosting] min=0.9701 acc=0.9778 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/hist_gradient_boosting] min=0.9654 acc=0.9739 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/adaboost] min=0.9717 acc=0.9786 auc=0.9962
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/mlp] min=0.9793 acc=0.9794 auc=0.9916
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/xgboost] min=0.9701 acc=0.9747 auc=0.9977
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/lightgbm] min=0.9717 acc=0.9755 auc=0.9975
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/soft_voting_rf_et_hgb] min=0.9748 acc=0.9755 auc=0.9983
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness/soft_voting_xgb_lgbm_et] min=0.9698 acc=0.9731 auc=0.9981
[min90/min90_sentetik_3000_per_class_pima/no_insulin/logistic_regression] min=0.9650 acc=0.9739 auc=0.9949
[min90/min90_sentetik_3000_per_class_pima/no_insulin/gaussian_nb] min=0.9618 acc=0.9731 auc=0.9939
[min90/min90_sentetik_3000_per_class_pima/no_insulin/knn] min=0.9654 acc=0.9731 auc=0.9914
[min90/min90_sentetik_3000_per_class_pima/no_insulin/svm_rbf] min=0.9717 acc=0.9747 auc=0.9977
[min90/min90_sentetik_3000_per_class_pima/no_insulin/random_forest] min=0.9732 acc=0.9755 auc=0.9982
[min90/min90_sentetik_3000_per_class_pima/no_insulin/extra_trees] min=0.9732 acc=0.9747 auc=0.9981
[min90/min90_sentetik_3000_per_class_pima/no_insulin/gradient_boosting] min=0.9732 acc=0.9763 auc=0.9971
[min90/min90_sentetik_3000_per_class_pima/no_insulin/hist_gradient_boosting] min=0.9682 acc=0.9723 auc=0.9960
[min90/min90_sentetik_3000_per_class_pima/no_insulin/adaboost] min=0.9777 acc=0.9794 auc=0.9955
[min90/min90_sentetik_3000_per_class_pima/no_insulin/mlp] min=0.9603 acc=0.9660 auc=0.9922
[min90/min90_sentetik_3000_per_class_pima/no_insulin/xgboost] min=0.9717 acc=0.9771 auc=0.9973
[min90/min90_sentetik_3000_per_class_pima/no_insulin/lightgbm] min=0.9669 acc=0.9723 auc=0.9972
[min90/min90_sentetik_3000_per_class_pima/no_insulin/soft_voting_rf_et_hgb] min=0.9746 acc=0.9747 auc=0.9981
[min90/min90_sentetik_3000_per_class_pima/no_insulin/soft_voting_xgb_lgbm_et] min=0.9701 acc=0.9755 auc=0.9978
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/logistic_regression] min=0.9650 acc=0.9739 auc=0.9949
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/gaussian_nb] min=0.9634 acc=0.9731 auc=0.9932
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/knn] min=0.9714 acc=0.9723 auc=0.9906
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/svm_rbf] min=0.9717 acc=0.9747 auc=0.9971
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/random_forest] min=0.9732 acc=0.9771 auc=0.9973
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/extra_trees] min=0.9666 acc=0.9731 auc=0.9977
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/gradient_boosting] min=0.9685 acc=0.9747 auc=0.9969
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/hist_gradient_boosting] min=0.9730 acc=0.9739 auc=0.9954
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/adaboost] min=0.9780 acc=0.9794 auc=0.9955
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/mlp] min=0.9654 acc=0.9723 auc=0.9940
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/xgboost] min=0.9714 acc=0.9723 auc=0.9970
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/lightgbm] min=0.9685 acc=0.9715 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/soft_voting_rf_et_hgb] min=0.9669 acc=0.9715 auc=0.9975
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_no_insulin/soft_voting_xgb_lgbm_et] min=0.9682 acc=0.9715 auc=0.9972
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/logistic_regression] min=0.9666 acc=0.9755 auc=0.9950
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/gaussian_nb] min=0.9650 acc=0.9739 auc=0.9879
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/knn] min=0.9777 acc=0.9794 auc=0.9941
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/svm_rbf] min=0.9701 acc=0.9794 auc=0.9964
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/random_forest] min=0.9717 acc=0.9747 auc=0.9983
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/extra_trees] min=0.9732 acc=0.9755 auc=0.9983
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/gradient_boosting] min=0.9777 acc=0.9802 auc=0.9953
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/hist_gradient_boosting] min=0.9762 acc=0.9763 auc=0.9972
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/adaboost] min=0.9764 acc=0.9794 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/mlp] min=0.9638 acc=0.9731 auc=0.9939
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/xgboost] min=0.9701 acc=0.9763 auc=0.9981
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/lightgbm] min=0.9732 acc=0.9739 auc=0.9980
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/soft_voting_rf_et_hgb] min=0.9698 acc=0.9747 auc=0.9983
[min90/min90_sentetik_3000_per_class_pima/clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9746 acc=0.9771 auc=0.9983
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/logistic_regression] min=0.9666 acc=0.9739 auc=0.9949
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/gaussian_nb] min=0.9666 acc=0.9747 auc=0.9877
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/knn] min=0.9717 acc=0.9763 auc=0.9932
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/svm_rbf] min=0.9717 acc=0.9802 auc=0.9959
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/random_forest] min=0.9717 acc=0.9755 auc=0.9984
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/extra_trees] min=0.9746 acc=0.9778 auc=0.9983
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/gradient_boosting] min=0.9780 acc=0.9794 auc=0.9961
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/hist_gradient_boosting] min=0.9730 acc=0.9747 auc=0.9973
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/adaboost] min=0.9714 acc=0.9771 auc=0.9967
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/mlp] min=0.9638 acc=0.9691 auc=0.9948
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/xgboost] min=0.9748 acc=0.9755 auc=0.9978
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/lightgbm] min=0.9732 acc=0.9747 auc=0.9976
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_rf_et_hgb] min=0.9698 acc=0.9755 auc=0.9983
[min90/min90_sentetik_3000_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9730 acc=0.9739 auc=0.9982
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/logistic_regression] min=0.9618 acc=0.9731 auc=0.9948
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/gaussian_nb] min=0.9666 acc=0.9747 auc=0.9927
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/knn] min=0.9714 acc=0.9747 auc=0.9914
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/svm_rbf] min=0.9682 acc=0.9763 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/random_forest] min=0.9746 acc=0.9778 auc=0.9971
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/extra_trees] min=0.9764 acc=0.9771 auc=0.9970
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/gradient_boosting] min=0.9762 acc=0.9771 auc=0.9963
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/hist_gradient_boosting] min=0.9717 acc=0.9723 auc=0.9959
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/adaboost] min=0.9811 acc=0.9818 auc=0.9958
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/mlp] min=0.9685 acc=0.9786 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/xgboost] min=0.9717 acc=0.9755 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/lightgbm] min=0.9732 acc=0.9739 auc=0.9969
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/soft_voting_rf_et_hgb] min=0.9762 acc=0.9763 auc=0.9969
[min90/min90_sentetik_3000_per_class_pima/compact_best_features/soft_voting_xgb_lgbm_et] min=0.9732 acc=0.9755 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/logistic_regression] min=0.9682 acc=0.9755 auc=0.9950
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/gaussian_nb] min=0.9618 acc=0.9731 auc=0.9901
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/knn] min=0.9764 acc=0.9810 auc=0.9931
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/svm_rbf] min=0.9762 acc=0.9786 auc=0.9981
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/random_forest] min=0.9732 acc=0.9763 auc=0.9982
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/extra_trees] min=0.9748 acc=0.9771 auc=0.9981
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/gradient_boosting] min=0.9701 acc=0.9786 auc=0.9980
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/hist_gradient_boosting] min=0.9762 acc=0.9763 auc=0.9968
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/adaboost] min=0.9780 acc=0.9786 auc=0.9972
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/mlp] min=0.9748 acc=0.9778 auc=0.9946
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/xgboost] min=0.9748 acc=0.9755 auc=0.9980
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/lightgbm] min=0.9732 acc=0.9755 auc=0.9977
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/soft_voting_rf_et_hgb] min=0.9746 acc=0.9755 auc=0.9982
[min90/min90_sentetik_3000_per_class_pima/high_signal_features/soft_voting_xgb_lgbm_et] min=0.9746 acc=0.9755 auc=0.9981
[min90/min90_sentetik_4000_per_class_pima/all_features/logistic_regression] min=0.9759 acc=0.9816 auc=0.9958
[min90/min90_sentetik_4000_per_class_pima/all_features/gaussian_nb] min=0.9684 acc=0.9791 auc=0.9950
[min90/min90_sentetik_4000_per_class_pima/all_features/random_forest] min=0.9810 acc=0.9823 auc=0.9988
[min90/min90_sentetik_4000_per_class_pima/all_features/extra_trees] min=0.9759 acc=0.9810 auc=0.9988
[min90/min90_sentetik_4000_per_class_pima/all_features/gradient_boosting] min=0.9747 acc=0.9816 auc=0.9963
[min90/min90_sentetik_4000_per_class_pima/all_features/hist_gradient_boosting] min=0.9772 acc=0.9829 auc=0.9980
[min90/min90_sentetik_4000_per_class_pima/all_features/adaboost] min=0.9810 acc=0.9835 auc=0.9973
[min90/min90_sentetik_4000_per_class_pima/all_features/xgboost] min=0.9797 acc=0.9842 auc=0.9980
[min90/min90_sentetik_4000_per_class_pima/all_features/lightgbm] min=0.9722 acc=0.9816 auc=0.9981
[min90/min90_sentetik_4000_per_class_pima/all_features/soft_voting_rf_et_hgb] min=0.9759 acc=0.9804 auc=0.9989
[min90/min90_sentetik_4000_per_class_pima/all_features/soft_voting_xgb_lgbm_et] min=0.9759 acc=0.9829 auc=0.9988
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/logistic_regression] min=0.9785 acc=0.9804 auc=0.9957
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/gaussian_nb] min=0.9658 acc=0.9785 auc=0.9947
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/random_forest] min=0.9772 acc=0.9810 auc=0.9980
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/extra_trees] min=0.9823 acc=0.9829 auc=0.9985
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/gradient_boosting] min=0.9671 acc=0.9791 auc=0.9956
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/hist_gradient_boosting] min=0.9797 acc=0.9829 auc=0.9974
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/adaboost] min=0.9734 acc=0.9816 auc=0.9970
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/xgboost] min=0.9772 acc=0.9816 auc=0.9977
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/lightgbm] min=0.9696 acc=0.9797 auc=0.9978
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/soft_voting_rf_et_hgb] min=0.9772 acc=0.9810 auc=0.9985
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness/soft_voting_xgb_lgbm_et] min=0.9747 acc=0.9816 auc=0.9985
[min90/min90_sentetik_4000_per_class_pima/no_insulin/logistic_regression] min=0.9772 acc=0.9797 auc=0.9962
[min90/min90_sentetik_4000_per_class_pima/no_insulin/gaussian_nb] min=0.9658 acc=0.9785 auc=0.9964
[min90/min90_sentetik_4000_per_class_pima/no_insulin/random_forest] min=0.9709 acc=0.9797 auc=0.9986
[min90/min90_sentetik_4000_per_class_pima/no_insulin/extra_trees] min=0.9785 acc=0.9816 auc=0.9986
[min90/min90_sentetik_4000_per_class_pima/no_insulin/gradient_boosting] min=0.9785 acc=0.9816 auc=0.9979
[min90/min90_sentetik_4000_per_class_pima/no_insulin/hist_gradient_boosting] min=0.9797 acc=0.9816 auc=0.9977
[min90/min90_sentetik_4000_per_class_pima/no_insulin/adaboost] min=0.9810 acc=0.9835 auc=0.9972
[min90/min90_sentetik_4000_per_class_pima/no_insulin/xgboost] min=0.9785 acc=0.9829 auc=0.9979
[min90/min90_sentetik_4000_per_class_pima/no_insulin/lightgbm] min=0.9772 acc=0.9829 auc=0.9982
[min90/min90_sentetik_4000_per_class_pima/no_insulin/soft_voting_rf_et_hgb] min=0.9785 acc=0.9816 auc=0.9984
[min90/min90_sentetik_4000_per_class_pima/no_insulin/soft_voting_xgb_lgbm_et] min=0.9797 acc=0.9829 auc=0.9981
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/logistic_regression] min=0.9785 acc=0.9804 auc=0.9961
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/gaussian_nb] min=0.9696 acc=0.9791 auc=0.9962
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/random_forest] min=0.9810 acc=0.9816 auc=0.9980
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/extra_trees] min=0.9797 acc=0.9823 auc=0.9983
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/gradient_boosting] min=0.9810 acc=0.9829 auc=0.9974
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/hist_gradient_boosting] min=0.9785 acc=0.9816 auc=0.9975
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/adaboost] min=0.9797 acc=0.9829 auc=0.9968
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/xgboost] min=0.9747 acc=0.9810 auc=0.9977
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/lightgbm] min=0.9797 acc=0.9823 auc=0.9978
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/soft_voting_rf_et_hgb] min=0.9785 acc=0.9804 auc=0.9984
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_no_insulin/soft_voting_xgb_lgbm_et] min=0.9797 acc=0.9823 auc=0.9982
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/logistic_regression] min=0.9772 acc=0.9804 auc=0.9961
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/gaussian_nb] min=0.9671 acc=0.9785 auc=0.9912
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/random_forest] min=0.9759 acc=0.9791 auc=0.9976
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/extra_trees] min=0.9810 acc=0.9816 auc=0.9984
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/gradient_boosting] min=0.9785 acc=0.9823 auc=0.9967
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/hist_gradient_boosting] min=0.9722 acc=0.9804 auc=0.9976
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/adaboost] min=0.9696 acc=0.9791 auc=0.9975
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/xgboost] min=0.9734 acc=0.9797 auc=0.9979
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/lightgbm] min=0.9734 acc=0.9810 auc=0.9982
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/soft_voting_rf_et_hgb] min=0.9734 acc=0.9797 auc=0.9980
[min90/min90_sentetik_4000_per_class_pima/clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9747 acc=0.9804 auc=0.9983
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/logistic_regression] min=0.9797 acc=0.9816 auc=0.9960
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/gaussian_nb] min=0.9658 acc=0.9778 auc=0.9912
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/random_forest] min=0.9759 acc=0.9791 auc=0.9976
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/extra_trees] min=0.9810 acc=0.9816 auc=0.9975
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/gradient_boosting] min=0.9797 acc=0.9823 auc=0.9957
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/hist_gradient_boosting] min=0.9759 acc=0.9804 auc=0.9978
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/adaboost] min=0.9722 acc=0.9804 auc=0.9972
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/xgboost] min=0.9785 acc=0.9816 auc=0.9979
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/lightgbm] min=0.9709 acc=0.9797 auc=0.9981
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_rf_et_hgb] min=0.9759 acc=0.9804 auc=0.9983
[min90/min90_sentetik_4000_per_class_pima/no_skinthickness_clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9772 acc=0.9823 auc=0.9983
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/logistic_regression] min=0.9797 acc=0.9804 auc=0.9960
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/gaussian_nb] min=0.9734 acc=0.9810 auc=0.9960
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/random_forest] min=0.9658 acc=0.9747 auc=0.9967
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/extra_trees] min=0.9734 acc=0.9778 auc=0.9976
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/gradient_boosting] min=0.9747 acc=0.9804 auc=0.9969
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/hist_gradient_boosting] min=0.9797 acc=0.9804 auc=0.9967
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/adaboost] min=0.9810 acc=0.9829 auc=0.9966
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/xgboost] min=0.9772 acc=0.9804 auc=0.9972
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/lightgbm] min=0.9759 acc=0.9791 auc=0.9969
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/soft_voting_rf_et_hgb] min=0.9734 acc=0.9791 auc=0.9975
[min90/min90_sentetik_4000_per_class_pima/compact_best_features/soft_voting_xgb_lgbm_et] min=0.9772 acc=0.9797 auc=0.9977
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/logistic_regression] min=0.9785 acc=0.9804 auc=0.9958
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/gaussian_nb] min=0.9684 acc=0.9791 auc=0.9928
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/random_forest] min=0.9747 acc=0.9804 auc=0.9975
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/extra_trees] min=0.9785 acc=0.9810 auc=0.9974
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/gradient_boosting] min=0.9772 acc=0.9810 auc=0.9964
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/hist_gradient_boosting] min=0.9823 acc=0.9829 auc=0.9974
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/adaboost] min=0.9709 acc=0.9797 auc=0.9971
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/xgboost] min=0.9797 acc=0.9823 auc=0.9976
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/lightgbm] min=0.9759 acc=0.9791 auc=0.9971
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/soft_voting_rf_et_hgb] min=0.9785 acc=0.9810 auc=0.9974
[min90/min90_sentetik_4000_per_class_pima/high_signal_features/soft_voting_xgb_lgbm_et] min=0.9772 acc=0.9810 auc=0.9976
[min90/min90_sentetik_5000_per_class_pima/all_features/logistic_regression] min=0.9865 acc=0.9881 auc=0.9973
[min90/min90_sentetik_5000_per_class_pima/all_features/gaussian_nb] min=0.9761 acc=0.9855 auc=0.9982
[min90/min90_sentetik_5000_per_class_pima/all_features/random_forest] min=0.9875 acc=0.9876 auc=0.9992
[min90/min90_sentetik_5000_per_class_pima/all_features/extra_trees] min=0.9865 acc=0.9871 auc=0.9992
[min90/min90_sentetik_5000_per_class_pima/all_features/gradient_boosting] min=0.9845 acc=0.9865 auc=0.9984
[min90/min90_sentetik_5000_per_class_pima/all_features/hist_gradient_boosting] min=0.9824 acc=0.9855 auc=0.9986
[min90/min90_sentetik_5000_per_class_pima/all_features/adaboost] min=0.9845 acc=0.9850 auc=0.9983
[min90/min90_sentetik_5000_per_class_pima/all_features/xgboost] min=0.9783 acc=0.9834 auc=0.9984
[min90/min90_sentetik_5000_per_class_pima/all_features/lightgbm] min=0.9793 acc=0.9834 auc=0.9988
[min90/min90_sentetik_5000_per_class_pima/all_features/soft_voting_rf_et_hgb] min=0.9835 acc=0.9860 auc=0.9987
[min90/min90_sentetik_5000_per_class_pima/all_features/soft_voting_xgb_lgbm_et] min=0.9793 acc=0.9839 auc=0.9988
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/logistic_regression] min=0.9865 acc=0.9886 auc=0.9973
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/gaussian_nb] min=0.9792 acc=0.9871 auc=0.9980
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/random_forest] min=0.9824 acc=0.9855 auc=0.9987
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/extra_trees] min=0.9866 acc=0.9871 auc=0.9986
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/gradient_boosting] min=0.9835 acc=0.9865 auc=0.9980
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/hist_gradient_boosting] min=0.9855 acc=0.9865 auc=0.9986
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/adaboost] min=0.9824 acc=0.9850 auc=0.9982
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/xgboost] min=0.9835 acc=0.9860 auc=0.9985
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/lightgbm] min=0.9824 acc=0.9850 auc=0.9987
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/soft_voting_rf_et_hgb] min=0.9835 acc=0.9860 auc=0.9987
[min90/min90_sentetik_5000_per_class_pima/no_skinthickness/soft_voting_xgb_lgbm_et] min=0.9824 acc=0.9855 auc=0.9988
[min90/min90_sentetik_5000_per_class_pima/no_insulin/logistic_regression] min=0.9865 acc=0.9876 auc=0.9974
[min90/min90_sentetik_5000_per_class_pima/no_insulin/gaussian_nb] min=0.9761 acc=0.9850 auc=0.9976
[min90/min90_sentetik_5000_per_class_pima/no_insulin/random_forest] min=0.9824 acc=0.9855 auc=0.9991
[min90/min90_sentetik_5000_per_class_pima/no_insulin/extra_trees] min=0.9866 acc=0.9871 auc=0.9985
[min90/min90_sentetik_5000_per_class_pima/no_insulin/gradient_boosting] min=0.9814 acc=0.9855 auc=0.9982
[min90/min90_sentetik_5000_per_class_pima/no_insulin/hist_gradient_boosting] min=0.9845 acc=0.9860 auc=0.9985
[min90/min90_sentetik_5000_per_class_pima/no_insulin/adaboost] min=0.9824 acc=0.9855 auc=0.9979
